"","binomial","id_no","kingdom","phylum","class","order_","family","genus","category","binomialul","area","mainlandarea"
"0","Abditomys latidens","42641","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Abditomys","DD","Abditomys_latidens",788.227276271284,0
"1","Abeomelomys sevia","17879","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Abeomelomys","LC","Abeomelomys_sevia",9683.81161422995,0
"2","Abrawayaomys chebezi","47761700","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrawayaomys","DD","Abrawayaomys_chebezi",52829.9475478146,52829.9475478146
"3","Abrawayaomys ruschii","47760825","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrawayaomys","LC","Abrawayaomys_ruschii",50734.6790735436,50734.6790735436
"4","Abrocoma bennettii","42656","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","LC","Abrocoma_bennettii",124895.992279637,124675.773236211
"5","Abrocoma boliviensis","18","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","CR","Abrocoma_boliviensis",64.7392112539594,64.7392112539594
"6","Abrocoma budini","136334","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","DD","Abrocoma_budini",405.50749671298,405.50749671298
"7","Abrocoma cinerea","42657","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","LC","Abrocoma_cinerea",529152.754248501,529152.754248501
"8","Abrocoma famatina","136367","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","DD","Abrocoma_famatina",3306.51955867117,3306.51955867117
"9","Abrocoma shistacea","136525","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","LC","Abrocoma_shistacea",5496.47574614806,5496.47574614806
"10","Abrocoma uspallata","136302","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","DD","Abrocoma_uspallata",14.3178116342944,14.3178116342944
"11","Abrocoma vaccarum","136546","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","DD","Abrocoma_vaccarum",37.1757022005359,37.1757022005359
"12","Abrothrix andinus","4803","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_andinus",612688.887463104,612688.887463104
"13","Abrothrix illutea","735","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_illutea",56345.6279906114,56345.6279906114
"14","Abrothrix jelskii","4804","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_jelskii",498022.482085521,498022.482085521
"15","Abrothrix lanosus","740","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_lanosus",40587.8939765753,17073.7452970166
"16","Abrothrix longipilis","743","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_longipilis",717949.898604283,701791.938238168
"17","Abrothrix manni","114955961","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_manni",45195.3292873754,42743.1627517666
"18","Abrothrix olivaceus","751","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_olivaceus",1083345.0549728,1075934.34527534
"19","Abrothrix sanborni","754","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","NT","Abrothrix_sanborni",4530.17210681303,352.696836174346
"20","Acerodon celebensis","137","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Acerodon","VU","Acerodon_celebensis",177574.280728068,0
"21","Acerodon humilis","138","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Acerodon","EN","Acerodon_humilis",929.157182837003,0
"22","Acerodon jubatus","139","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Acerodon","EN","Acerodon_jubatus",144169.51975946,0
"23","Acerodon leucotis","140","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Acerodon","VU","Acerodon_leucotis",12751.1806537077,0
"24","Acerodon mackloti","142","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Acerodon","VU","Acerodon_mackloti",74622.8106471001,0
"25","Acinonyx jubatus","219","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","Acinonyx","VU","Acinonyx_jubatus",5119014.42317398,5118513.68589271
"26","Acomys airensis","44936","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_airensis",1825638.34217545,1825638.34217545
"27","Acomys cahirinus","263","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_cahirinus",4017285.72663385,4016013.97842428
"28","Acomys cilicicus","264","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","DD","Acomys_cilicicus",17.625136105701,14.5450653408536
"29","Acomys cineraceus","265","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_cineraceus",1049545.75481432,1049545.75481432
"30","Acomys dimidiatus","136471","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_dimidiatus",1558726.49849857,1556205.4035731
"31","Acomys ignitus","266","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_ignitus",105257.360298747,105213.312134463
"32","Acomys johannis","44938","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_johannis",426085.265227011,426085.265227011
"33","Acomys kempi","267","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_kempi",569643.335701032,569173.077909377
"34","Acomys louisae","268","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_louisae",688439.915277867,687494.955823334
"35","Acomys minous","269","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","DD","Acomys_minous",8344.71859549966,0
"36","Acomys mullah","270","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_mullah",160420.635389478,160266.509354973
"37","Acomys muzei","47806447","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_muzei",472595.886359977,472595.886359977
"38","Acomys ngurui","47806534","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_ngurui",261361.417968317,261193.173165174
"39","Acomys percivali","272","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_percivali",222958.298512725,222958.298512725
"40","Acomys russatus","273","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_russatus",702024.70528809,700832.383212283
"41","Acomys selousi","47806307","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_selousi",258308.399735639,258308.399735639
"42","Acomys seurati","44939","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_seurati",298887.042140117,298887.042140117
"43","Acomys spinosissimus","47805694","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_spinosissimus",101250.459245567,101250.459245567
"44","Acomys subspinosus","275","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_subspinosus",94357.7026988573,94158.8862394815
"45","Acomys wilsoni","276","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_wilsoni",1372812.72945642,1372112.18732515
"46","Aconaemys fuscus","278","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","OCTODONTIDAE","Aconaemys","LC","Aconaemys_fuscus",31935.7541945825,31935.7541945825
"47","Aconaemys porteri","136331","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","OCTODONTIDAE","Aconaemys","DD","Aconaemys_porteri",22675.3331785501,22675.3331785501
"48","Aconaemys sagei","279","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","OCTODONTIDAE","Aconaemys","DD","Aconaemys_sagei",40513.5573624678,40463.4179736196
"49","Acrobates pygmaeus","40584","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","ACROBATIDAE","Acrobates","LC","Acrobates_pygmaeus",1200801.1952848,1197407.54598439
"50","Addax nasomaculatus","512","ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Addax","CR","Addax_nasomaculatus",49488.3692346158,49488.3692346158
"51","Aegialomys galapagoensis","15595","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Aegialomys","VU","Aegialomys_galapagoensis",23.1805504582412,0
"52","Aegialomys xanthaeolus","15616","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Aegialomys","LC","Aegialomys_xanthaeolus",258878.321092125,257294.020496058
"53","Aepeomys lugens","548","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Aepeomys","LC","Aepeomys_lugens",9497.26518260931,9497.26518260931
"54","Aepeomys reigi","136484","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Aepeomys","VU","Aepeomys_reigi",13016.4990273886,13016.4990273886
"55","Aepyceros melampus","550","ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Aepyceros","LC","Aepyceros_melampus",3495569.74123769,3495091.22138952
"56","Aepyprymnus rufescens","40558","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","POTOROIDAE","Aepyprymnus","LC","Aepyprymnus_rufescens",566664.642635572,565982.941121897
"57","Aeretes melanopterus","555","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Aeretes","NT","Aeretes_melanopterus",56180.819773129,56180.819773129
"58","Aeromys tephromelas","556","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Aeromys","DD","Aeromys_tephromelas",362180.71278449,165727.093634572
"59","Aeromys thomasi","557","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Aeromys","LC","Aeromys_thomasi",446207.386931038,0
"60","Aethalops aequalis","136541","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Aethalops","LC","Aethalops_aequalis",93008.8521428042,0
"61","Aethalops alecto","565","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Aethalops","LC","Aethalops_alecto",158100.837565513,38010.2131532915
"62","Aethomys bocagei","568","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Aethomys","LC","Aethomys_bocagei",253323.276688922,253177.123326202
"63","Aethomys chrysophilus","569","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Aethomys","LC","Aethomys_chrysophilus",4154330.27928347,4153184.79513504
"64","Aethomys hindei","571","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Aethomys","LC","Aethomys_hindei",2482352.20886221,2482309.61450893
"65","Aethomys ineptus","44990","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Aethomys","LC","Aethomys_ineptus",592259.58859572,592013.501802382
"66","Aethomys kaiseri","572","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Aethomys","LC","Aethomys_kaiseri",1693329.17530542,1693273.99543715
"67","Aethomys nyikae","574","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Aethomys","LC","Aethomys_nyikae",897965.405906152,897965.405906152
"68","Aethomys silindensis","567","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Aethomys","DD","Aethomys_silindensis",19129.1179453283,19129.1179453283
"69","Aethomys stannarius","575","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Aethomys","DD","Aethomys_stannarius",170085.391252653,170085.391252653
"70","Aethomys thomasi","576","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Aethomys","LC","Aethomys_thomasi",270711.031659104,270711.031659104
"71","Ailuropoda melanoleuca","712","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","URSIDAE","Ailuropoda","VU","Ailuropoda_melanoleuca",34603.9849102308,34603.9797155817
"72","Ailurops melanotis","136218","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","PHALANGERIDAE","Ailurops","CR","Ailurops_melanotis",274.513642454845,0
"73","Ailurops ursinus","40637","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","PHALANGERIDAE","Ailurops","VU","Ailurops_ursinus",179858.765012748,0
"74","Ailurus fulgens","714","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","AILURIDAE","Ailurus","EN","Ailurus_fulgens",338830.994942456,338830.994942456
"75","Akodon aerosus","723","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_aerosus",114165.459207158,114165.459207158
"76","Akodon affinis","724","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_affinis",42197.0440128762,42197.0440128762
"77","Akodon albiventer","725","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_albiventer",402049.085745366,402049.085745366
"78","Akodon azarae","726","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_azarae",1227616.00376012,1225924.89579598
"79","Akodon boliviensis","728","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_boliviensis",217533.18086821,217533.18086821
"80","Akodon budini","729","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_budini",19876.4907781204,19876.4907781204
"81","Akodon caenosus","114956458","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","DD","Akodon_caenosus",187082.138232142,187082.138232142
"82","Akodon cursor","730","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_cursor",824145.087389725,821364.532806743
"83","Akodon dayi","731","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_dayi",289331.634413989,289331.634413989
"84","Akodon dolores","114957548","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_dolores",809586.623832813,809089.9976694
"85","Akodon fumeus","733","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_fumeus",151082.142486297,151082.142486297
"86","Akodon iniscatus","736","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_iniscatus",573427.582592145,572872.835543278
"87","Akodon juninensis","737","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_juninensis",115454.096398932,115454.096398932
"88","Akodon kofordi","739","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_kofordi",13610.9940876822,13610.9940876822
"89","Akodon lindberghi","742","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","DD","Akodon_lindberghi",165485.768963276,165485.768963276
"90","Akodon lutescens","753","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_lutescens",118603.690122993,118603.690122993
"91","Akodon mimus","746","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_mimus",57439.2777331386,57439.2777331386
"92","Akodon molinae","747","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_molinae",429193.487552098,428317.738936355
"93","Akodon mollis","748","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_mollis",265351.806491166,265299.581724562
"94","Akodon montensis","136197","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_montensis",1050409.37159071,1047764.56861267
"95","Akodon mystax","136260","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","DD","Akodon_mystax",17695.1474131247,17695.1474131247
"96","Akodon orophilus","752","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_orophilus",33882.5213331561,33882.5213331561
"97","Akodon paranaensis","136483","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_paranaensis",482669.07196225,481319.531104357
"98","Akodon pervalens","136676","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","DD","Akodon_pervalens",60583.3539576198,60583.3539576198
"99","Akodon philipmyersi","136753","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","DD","Akodon_philipmyersi",6207.91398622247,6207.91398622247
"100","Akodon polopi","48300296","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_polopi",47742.8920642138,47742.8920642138
"101","Akodon reigi","136693","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_reigi",65868.0714127102,65815.4282669253
"102","Akodon sanctipaulensis","755","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","DD","Akodon_sanctipaulensis",23692.5041863845,23692.5041863845
"103","Akodon serrensis","756","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_serrensis",275871.624893852,275871.624893852
"104","Akodon siberiae","757","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","NT","Akodon_siberiae",25253.9039795013,25253.9039795013
"105","Akodon simulator","758","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_simulator",156808.587439094,156808.587439094
"106","Akodon spegazzinii","48302281","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_spegazzinii",219496.2345626,219496.2345626
"107","Akodon subfuscus","760","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_subfuscus",171092.782761899,171092.782761899
"108","Akodon surdus","761","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","VU","Akodon_surdus",16434.6390899558,16434.6390899558
"109","Akodon sylvanus","762","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_sylvanus",39317.4050617426,39317.4050617426
"110","Akodon toba","763","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_toba",443710.583691494,443710.583691494
"111","Akodon torques","764","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","Akodon_torques",66658.2628215795,66658.2628215795
"112","Akodon varius","766","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","DD","Akodon_varius",267718.882921692,267718.882921692
"113","Alcelaphus buselaphus","811","ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Alcelaphus","LC","Alcelaphus_buselaphus",6759380.82674426,6759092.02897917
"114","Alces alces","56003281","ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","CERVIDAE","Alces","LC","Alces_alces",23096272.6329301,23075160.282801
"115","Alionycteris paucidentata","843","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Alionycteris","LC","Alionycteris_paucidentata",6417.83845483842,0
"116","Allactaga balikunica","851","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","LC","Allactaga_balikunica",234834.395022654,234834.395022654
"117","Allactaga bullata","852","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","LC","Allactaga_bullata",1563011.21851668,1563011.21851668
"118","Allactaga elater","47783095","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","LC","Allactaga_elater",3246015.69833233,3241792.56177881
"119","Allactaga euphratica","854","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","LC","Allactaga_euphratica",758072.396779082,758072.396779082
"120","Allactaga firouzi","855","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","DD","Allactaga_firouzi",1316.23096236788,1316.23096236788
"121","Allactaga hotsoni","856","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","LC","Allactaga_hotsoni",497396.337531963,497396.337531963
"122","Allactaga major","857","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","LC","Allactaga_major",4297326.13571781,4290451.38690256
"123","Allactaga severtzovi","858","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","LC","Allactaga_severtzovi",706422.241483379,703513.004437508
"124","Allactaga sibirica","859","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","LC","Allactaga_sibirica",5412810.79668996,5408779.8999887
"125","Allactaga tetradactyla","850","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","DD","Allactaga_tetradactyla",103445.342541999,103193.526156356
"126","Allactaga toussi","47781395","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","LC","Allactaga_toussi",166073.32932826,166073.32932826
"127","Allactaga vinogradovi","860","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","NT","Allactaga_vinogradovi",53732.7961728181,53732.7961728181
"128","Allactaga williamsi","136326","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","LC","Allactaga_williamsi",705703.699404717,705623.711716028
"129","Allactodipus bobrinskii","861","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactodipus","LC","Allactodipus_bobrinskii",275856.828812988,275856.828812988
"130","Allenopithecus nigroviridis","865","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Allenopithecus","LC","Allenopithecus_nigroviridis",526623.001857461,526623.001857461
"131","Allocebus trichotis","868","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Allocebus","EN","Allocebus_trichotis",7303.53836688982,0
"132","Allochrocebus lhoesti","4220","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Allochrocebus","VU","Allochrocebus_lhoesti",216021.539135415,216021.539135415
"133","Allochrocebus preussi","4227","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Allochrocebus","EN","Allochrocebus_preussi",17526.7618014814,16899.7184454269
"134","Allochrocebus solatus","4230","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Allochrocebus","NT","Allochrocebus_solatus",18941.8542888176,18941.8542888176
"135","Allocricetulus curtatus","42640","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Allocricetulus","LC","Allocricetulus_curtatus",1332299.36724882,1332299.36724882
"136","Allocricetulus eversmanni","875","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Allocricetulus","LC","Allocricetulus_eversmanni",1776745.67013052,1776745.67013052
"137","Alouatta arctoidea","136486","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","LC","Alouatta_arctoidea",406536.152210073,405891.938303123
"138","Alouatta belzebul","39957","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","VU","Alouatta_belzebul",864468.569564586,862191.927744705
"139","Alouatta caraya","41545","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","NT","Alouatta_caraya",3064214.79980697,3064214.79980697
"140","Alouatta discolor","43912","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","VU","Alouatta_discolor",375751.384277337,375751.384277337
"141","Alouatta guariba","39916","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","VU","Alouatta_guariba",940355.901669615,938877.550044648
"142","Alouatta juara","922","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","LC","Alouatta_juara",2337668.15503367,2337255.49101286
"143","Alouatta macconnelli","40642","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","LC","Alouatta_macconnelli",1761103.55013964,1755725.70456341
"144","Alouatta nigerrima","136332","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","LC","Alouatta_nigerrima",236116.232666645,236116.232666645
"145","Alouatta palliata","39960","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","VU","Alouatta_palliata",549311.369272305,547785.016368038
"146","Alouatta pigra","914","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","EN","Alouatta_pigra",239988.907300388,237529.685982908
"147","Alouatta puruensis","136787","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","LC","Alouatta_puruensis",1044790.69638135,1044790.69638135
"148","Alouatta sara","41546","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","LC","Alouatta_sara",341403.365112829,341403.365112829
"149","Alouatta ululata","918","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","EN","Alouatta_ululata",99445.1873671979,99421.4509278201
"150","Alticola albicaudus","948","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Alticola","DD","Alticola_albicaudus",80158.4336339179,80158.4336339179
"151","Alticola argentatus","949","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Alticola","LC","Alticola_argentatus",1380073.1085818,1380073.1085818
"152","Alticola barakshin","950","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Alticola","LC","Alticola_barakshin",225997.116002814,225997.116002814
"153","Alticola lemminus","951","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Alticola","LC","Alticola_lemminus",2068169.33179314,1953323.31956628
"154","Alticola macrotis","952","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Alticola","LC","Alticola_macrotis",379222.678551891,379222.678551891
"155","Alticola montosa","953","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Alticola","VU","Alticola_montosa",19533.933348144,19533.933348144
"156","Alticola olchonensis","136648","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Alticola","EN","Alticola_olchonensis",1348.36796360286,1348.36796360286
